CNAE2009,TÍTULO_CNAE2009,CNAE2025,TÍTULO_CNAE2025,NIVEL
19.2,Refino de petróleo,19.2,Refino de petróleo y de combustibles fósiles,3
19.20,Refino de petróleo,19.20,Refino de petróleo y de combustibles fósiles,4
20,Industria química,20,Industria química,2
38,"Recogida, tratamiento y eliminación de residuos; valorización",20,Industria química,2
20.1,"Fabricación de productos químicos básicos, compuestos nitrogenados, fertilizantes, plásticos y caucho sintético en formas primarias",20.1,"Fabricación de productos químicos básicos, compuestos nitrogenados, fertilizantes, plásticos y caucho sintético en formas primarias",3
38.3,Valorización,20.1,"Fabricación de productos químicos básicos, compuestos nitrogenados, fertilizantes, plásticos y caucho sintético en formas primarias",3
20.11,Fabricación de gases industriales,20.11,Fabricación de gases industriales,4
20.12,Fabricación de colorantes y pigmentos,20.12,Fabricación de colorantes y pigmentos,4
20.13,Fabricación de otros productos básicos de química inorgánica,20.13,Fabricación de otros productos básicos de química inorgánica,4
20.11,Fabricación de gases industriales,20.14,Fabricación de otros productos básicos de química orgánica,4
20.14,Fabricación de otros productos básicos de química orgánica,20.14,Fabricación de otros productos básicos de química orgánica,4
20.15,Fabricación de fertilizantes y compuestos nitrogenados,20.15,Fabricación de fertilizantes y compuestos nitrogenados,4
20.16,Fabricación de plásticos en formas primarias,20.16,Fabricación de plásticos en formas primarias,4
38.32,Valorización de materiales ya clasificados,20.16,Fabricación de plásticos en formas primarias,4
20.17,Fabricación de caucho sintético en formas primarias,20.17,Fabricación de caucho sintético en formas primarias,4
20.2,Fabricación de pesticidas y otros productos agroquímicos,20.2,"Fabricación de pesticidas, desinfectantes y otros productos agroquímicos",3
20.20,Fabricación de pesticidas y otros productos agroquímicos,20.20,"Fabricación de pesticidas, desinfectantes y otros productos agroquímicos",4
20.3,"Fabricación de pinturas, barnices y revestimientos similares; tintas de imprenta y masillas",20.3,"Fabricación de pinturas, barnices y revestimientos similares, tintas de imprenta y masillas",3
20.30,"Fabricación de pinturas, barnices y revestimientos similares; tintas de imprenta y masillas",20.30,"Fabricación de pinturas, barnices y revestimientos similares, tintas de imprenta y masillas",4
20.4,"Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento; fabricación de perfumes y cosméticos",20.4,"Fabricación de artículos de lavado, limpieza y abrillantamiento",3
20.41,"Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento",20.41,"Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento",4
20.42,Fabricación de perfumes y cosméticos,20.42,Fabricación de productos de perfumería y cosmética,4
20.1,"Fabricación de productos químicos básicos, compuestos nitrogenados, fertilizantes, plásticos y caucho sintético en formas primarias",20.5,Fabricación de otros productos químicos,3
20.5,Fabricación de otros productos químicos,20.5,Fabricación de otros productos químicos,3
20.14,Fabricación de otros productos básicos de química orgánica,20.51,Fabricación de biocombustibles líquidos,4
20.59,Fabricación de otros productos químicos n.c.o.p.,20.51,Fabricación de biocombustibles líquidos,4
20.51,Fabricación de explosivos,20.59,Fabricación de otros productos químicos n.c.o.p.,4
20.52,Fabricación de colas,20.59,Fabricación de otros productos químicos n.c.o.p.,4
20.53,Fabricación de aceites esenciales,20.59,Fabricación de otros productos químicos n.c.o.p.,4
20.59,Fabricación de otros productos químicos n.c.o.p.,20.59,Fabricación de otros productos químicos n.c.o.p.,4
20.6,Fabricación de fibras artificiales y sintéticas,20.6,Fabricación de fibras artificiales y sintéticas,3
20.60,Fabricación de fibras artificiales y sintéticas,20.60,Fabricación de fibras artificiales y sintéticas,4
21,Fabricación de productos farmacéuticos,21,Fabricación de productos farmacéuticos,2
21.1,Fabricación de productos farmacéuticos de base,21.1,Fabricación de productos farmacéuticos de base,3
21.10,Fabricación de productos farmacéuticos de base,21.10,Fabricación de productos farmacéuticos de base,4
21.2,Fabricación de especialidades farmacéuticas,21.2,Fabricación de especialidades farmacéuticas,3
